127.0.0.1 - - [03/Apr/2022:16:29:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Apr/2022:16:29:59 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [03/Apr/2022:16:29:59 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:16:29:59 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2022:16:29:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Apr/2022:16:33:22 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [03/Apr/2022:16:33:25 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [03/Apr/2022:16:33:25 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [03/Apr/2022:16:33:26 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [03/Apr/2022:16:33:27 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [03/Apr/2022:16:33:28 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [03/Apr/2022:16:33:28 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [03/Apr/2022:16:33:28 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [03/Apr/2022:16:33:29 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
0:0:0:0:0:0:0:1 - - [03/Apr/2022:16:33:29 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2300
